% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
96.00000000000001,10000,-102.81926518388741
96.00000000000001,30000,-111.09757401251584
96.00000000000001,50000,-114.55204958705895
96.00000000000001,70000,-112.57408152023285
97,10000,-102.83106871828436
97,30000,-111.09523774486928
97,50000,-114.58952909853296
97,70000,-112.61541451823572
98,10000,-102.84211558204862
98,30000,-111.09263299687129
98,50000,-114.62070721297306
98,70000,-112.65209817021085
99,10000,-102.85239091781514
99,30000,-111.08984323342689
99,50000,-114.64609842497781
99,70000,-112.68414367474095
100,10000,-102.86188083304901
100,30000,-111.08694834322235
100,50000,-114.66619029894007
100,70000,-112.71158530398615
101,10000,-102.87057242412045
101,30000,-111.08402520038089
101,50000,-114.68143628718083
101,70000,-112.73447965748585
102,10000,-102.8784537990662
102,30000,-111.08114819203065
102,50000,-114.69224990871481
102,70000,-112.75290455307184
103,10000,-102.88551409894313
103,30000,-111.07838970550296
103,50000,-114.69900021953688
103,70000,-112.76695762848559
104,10000,-102.89174351771678
104,30000,-111.07582057028331
104,50000,-114.70200847975099
104,70000,-112.77675472810002
105.00000000000001,10000,-102.89713332064066
105.00000000000001,30000,-111.0735104499649
105.00000000000001,50000,-114.70154590900934
105.00000000000001,70000,-112.78242813744207
106,10000,-102.9016758610343
106,30000,-111.07152818029606
106,50000,-114.69783242135583
106,70000,-112.78412472120579
107,10000,-102.90536459543796
107,30000,-111.06994204987359
107,50000,-114.69103623891937
107,70000,-112.78200399920556
108,10000,-102.90819409706504
108,30000,-111.06882002004127
108,50000,-114.68127430086297
108,70000,-112.77623618303167
109,10000,-102.91016006751023
109,30000,-111.06822988109236
109,50000,-114.66861340026918
109,70000,-112.76700017124176
110,10000,-102.91125934669083
110,30000,-111.06823934147485
110,50000,-114.65307200575978
110,70000,-112.75448148285754
111,10000,-102.91148992092899
111,30000,-111.06891604723381
111,50000,-114.63462274123252
111,70000,-112.73887008371828
112,10000,-102.91085092919985
112,30000,-111.07032752821851
112,50000,-114.61319551574613
112,70000,-112.72035804126136
113,10000,-102.90934266746956
113,30000,-111.07254106794909
113,50000,-114.5886813073677
113,70000,-112.69913691998369
114.00000000000001,10000,-102.9069665911181
114.00000000000001,30000,-111.07562349334114
114.00000000000001,50000,-114.5609366116004
114.00000000000001,70000,-112.67539481369376
115,10000,-102.90372531540932
115,30000,-111.07964088034561
115,50000,-114.52978856390557
115,70000,-112.6493128962976
116.00000000000001,10000,-102.89962261402393
116.00000000000001,30000,-111.084658171298
116.00000000000001,50000,-114.49504073814865
116.00000000000001,70000,-112.62106136060952
117,10000,-102.89466341560244
117,30000,-111.0907386990958
117,50000,-114.45647960416096
117,70000,-112.59079461669381
118.00000000000001,10000,-102.88885379832755
118.00000000000001,30000,-111.09794361306237
118.00000000000001,50000,-114.41388160524751
118.00000000000001,70000,-112.5586456214205
119,10000,-102.88220098252971
119,30000,-111.10633120097766
119,50000,-114.36702078006408
119,70000,-112.52471923128684
119.99999999999999,10000,-102.87471332134427
119.99999999999999,30000,-111.11595610106659
119.99999999999999,50000,-114.3156768184144
