Frequency_Hz,TargetStrength_dB_re_1m
60196.7467467468,-37.9444337557187
60286.7867867868,-37.9450084135696
60376.8268268268,-37.9455816802068
60466.8668668669,-37.9461528642654
60556.9069069069,-37.946721282778
60646.9469469469,-37.9472862628795
60736.986986987,-37.9478471434713
60827.027027027,-37.9484032768419
60917.0670670671,-37.9489540302385
61007.1071071071,-37.9494987873882
61097.1471471472,-37.9500369499622
61187.1871871872,-37.950567938983
61277.2272272272,-37.9510911961693
61367.2672672673,-37.9516061852156
61457.3073073073,-37.9521123930049
61547.3473473474,-37.9526093307506
61637.3873873874,-37.9530965350669
61727.4274274274,-37.9535735689629
61817.4674674675,-37.9540400227609
61907.5075075075,-37.9544955149359
61997.5475475476,-37.9549396928749
62087.5875875876,-37.9553722335546
62177.6276276276,-37.955792844137
62267.6676676677,-37.9562012624808
62357.7077077077,-37.9565972575692
62447.7477477478,-37.9569806298531
62537.7877877878,-37.9573512115094
62627.8278278278,-37.9577088666147
62717.8678678679,-37.9580534912347
62807.9079079079,-37.958385013429
62897.947947948,-37.9587033931734
62987.987987988,-37.9590086221995
63078.028028028,-37.9593007237531
63168.0680680681,-37.9595797522725
63258.1081081081,-37.959845792989
63348.1481481482,-37.96009896145
63438.1881881882,-37.9603394029684
63528.2282282282,-37.9605672919987
63618.2682682683,-37.9607828314431
63708.3083083083,-37.9609862518894
63798.3483483484,-37.9611778107845
63888.3883883884,-37.961357791545
63978.4284284284,-37.9615265026076
64068.4684684685,-37.9616842764241
64158.5085085085,-37.9618314684027
64248.5485485486,-37.9619684557987
64338.5885885886,-37.962095636559
64428.6286286286,-37.9622134281233
64518.6686686687,-37.9623222661853
64608.7087087087,-37.9624226034181
64698.7487487488,-37.962514908167
64788.7887887888,-37.9625996631135
64878.8288288288,-37.9626773639144
64968.8688688689,-37.9627485178199
65058.9089089089,-37.9628136422737
65148.948948949,-37.9628732635004
65238.988988989,-37.962927915082
65329.029029029,-37.9629781365292
65419.0690690691,-37.9630244718499
65509.1091091091,-37.9630674681201
65599.1491491491,-37.9631076740582
65689.1891891892,-37.9631456386092
65779.2292292292,-37.9631819095414
65869.2692692693,-37.963217032058
65959.3093093093,-37.9632515474289
66049.3493493494,-37.9632859916437
66139.3893893894,-37.9633208940915
66229.4294294295,-37.9633567762694
66319.4694694695,-37.9633941505226
66409.5095095095,-37.9634335188192
66499.5495495496,-37.9634753715632
66589.5895895896,-37.9635201864467
66679.6296296296,-37.9635684273461
66769.6696696697,-37.9636205432623
66859.7097097097,-37.9636769673093
66949.7497497498,-37.9637381157513
67039.7897897898,-37.9638043870926
67129.8298298298,-37.963876161219
67219.8698698699,-37.9639537985963
67309.9099099099,-37.9640376395235
67399.94994995,-37.9641280034446
67489.98998999,-37.9642251883194
67580.03003003,-37.9643294700545
67670.0700700701,-37.9644411019946
67760.1101101101,-37.9645603144764
67850.1501501502,-37.9646873144431
67940.1901901902,-37.9648222851244
68030.2302302302,-37.9649653857762
68120.2702702703,-37.9651167514848
68210.3103103103,-37.9652764930343
68300.3503503504,-37.9654446968358
68390.3903903904,-37.9656214249193
68480.4304304304,-37.9658067149875
68570.4704704705,-37.96600058053
68660.5105105105,-37.9662030109989
68750.5505505506,-37.9664139720428
68840.5905905906,-37.9666334057994
68930.6306306306,-37.966861231245
69020.6706706707,-37.9670973445999
69110.7107107107,-37.9673416197878
69200.7507507508,-37.9675939089479
69290.7907907908,-37.9678540429976
69380.8308308308,-37.968121832245
69470.8708708709,-37.9683970670477
69560.9109109109,-37.968679518517
69650.950950951,-37.968968939266
69740.990990991,-37.9692650641965
69831.031031031,-37.9695676113267
69921.0710710711,-37.9698762826532
70011.1111111111,-37.970190765048
70101.1511511512,-37.9705107311857
70191.1911911912,-37.9708358405
70281.2312312313,-37.9711657401657
70371.2712712713,-37.9715000661048
70461.3113113113,-37.971838444012
70551.3513513514,-37.9721804903997
70641.3913913914,-37.9725258136565
70731.4314314314,-37.9728740151195
70821.4714714715,-37.973224690155
70911.5115115115,-37.9735774292471
71001.5515515516,-37.9739318190892
71091.5915915916,-37.9742874436775
71181.6316316317,-37.9746438854025
71271.6716716717,-37.9750007261366
71361.7117117117,-37.9753575483138
71451.7517517518,-37.975713936001
71541.7917917918,-37.9760694759554
71631.8318318318,-37.9764237586684
71721.8718718719,-37.976776379391
71811.9119119119,-37.9771269391393
71901.951951952,-37.9774750456781
71991.991991992,-37.9778203144795
72082.032032032,-37.9781623696542
72172.0720720721,-37.9785008448541
72262.1121121121,-37.9788353841432
